"con_id","ind_id","name"
"11","81","Air Toxics"
"11","51","Annual PM2.5 Level (Monitor + Modeled)"
"11","32","Annual PM2.5 Level (Monitor only)"
"11","75","Mortality benefits associated with reducing PM2.5 concentration levels"
"11","49","Ozone - Days Above Regulatory Standard (Monitor + Modeled)"
"11","30","Ozone - Days Above Regulatory Standard (Monitor only)"
"11","50","PM2.5 -  Days Above Regulatory Standard (Monitor + Modeled)"
"11","31","PM2.5 -  Days Above Regulatory Standard (Monitor only)"
"11","138","Wildland Fires"
"3","54","Asthma Prevalence among Adults"
"3","126","Asthma Prevalence among adults - 500 Cities"
"3","55","Asthma Prevalence among Children"
"3","90","Emergency department visits for asthma"
"3","35","Hospitalizations for Asthma"
"18","143","National Report on Human Exposure to Environmental Chemicals"
"5","1","Prevalence of Anencephaly"
"5","116","Prevalence of Cleft Lip with Cleft Palate"
"5","117","Prevalence of Cleft Lip without Cleft Palate"
"5","7","Prevalence of Cleft Palate without Cleft Lip"
"5","9","Prevalence of Gastroschisis"
"5","3","Prevalence of Hypoplastic Left Heart Syndrome"
"5","8","Prevalence of Hypospadias"
"5","118","Prevalence of Limb Deficiencies Combined"
"5","2","Prevalence of Spina Bifida w/out Anencephaly"
"5","4","Prevalence of Tetralogy of Fallot"
"5","5","Prevalence of Transposition of the Great Arteries (Vessels)"
"5","12","Prevalence of Trisomy 21"
"9","21","Incidence of Acute Myeloid Leukemia"
"9","18","Incidence of Bladder Cancer"
"9","47","Incidence of Brain and Other Nervous System Cancer"
"9","19","Incidence of Breast Cancer (Females Only)"
"9","22","Incidence of Chronic Lymphocytic Leukemia"
"9","92","Incidence of Esophageal Cancer"
"9","73","Incidence of Kidney Cancer"
"9","94","Incidence of Larynx Cancer"
"9","20","Incidence of Leukemia"
"9","74","Incidence of Liver Cancer"
"9","23","Incidence of Lung and Bronchus Cancers"
"9","72","Incidence of Melanoma"
"9","71","Incidence of Mesothelioma"
"9","24","Incidence of Non-Hodgkin's Lymphoma"
"9","91","Incidence of Oral Cancer"
"9","93","Incidence of Pancreatic Cancer"
"9","142","Incidence of Testicular Cancer (Males only)"
"9","25","Incidence of Thyroid Cancers"
"2","39","Unintentional Carbon Monoxide Poisoning Mortality"
"2","38","Unintentional CO Poisoning Emergency Department Visits"
"2","37","Unintentional CO Poisoning Hospitalizations"
"10","29","Incidence of Acute Lymphocytic Leukemia"
"10","28","Incidence of Acute Myeloid Leukemia"
"10","26","Incidence of Brain and Central Nervous System Cancer"
"10","27","Incidence of Leukemia"
"6","34","Age of Housing"
"6","77","Annual Blood Lead Levels"
"6","33","Blood Lead Levels by Birth Cohort"
"23","130","COPD Emergency Department Visits"
"23","129","COPD Hospitalizations"
"23","121","COPD Mortality"
"23","125","COPD Prevalence - 500 Cities"
"15","106","Flood Vulnerability"
"15","97","Future Projections of Extreme Heat"
"15","107","Future Projections of Extreme Precipitation"
"15","89","Heat stress emergency department visits"
"15","88","Heat stress hospitalizations"
"15","104","Heat Vulnerability - Adaptive Capacity"
"15","105","Heat Vulnerability - Exposure"
"15","103","Heat Vulnerability - Sensitivity"
"15","67","Heat-Related Mortality"
"15","79","Historical Extreme Heat Days and Events"
"15","108","Historical Extreme Precipitation"
"15","65","Temperature Distribution"
"22","106","Flood Vulnerability"
"22","110","Households"
"22","146","Internet Access"
"22","134","Land Cover"
"22","111","Land Use"
"22","145","Medical Infrastructure"
"14","80","Access to Parks and Public Elementary Schools"
"14","133","Commute Time"
"14","70","Motor Vehicle-Related Fatalities"
"14","99","Proximity of Population and Schools to Highways"
"14","56","Types of Transportation to Work"
"33","153","Cardiovascular Disease"
"33","149","COVID-19 Cases and Deaths"
"33","155","Demographics"
"33","154","Health Status"
"33","151","Households"
"33","152","Medical Infrastructure"
"33","150","Respiratory Disease"
"33","156","Social Vulnerability Index (ATSDR)"
