"mes_id","geo_id","cat_id","cat_name","cat_lbl","lvl_name","lvl_id","smooth"
29,1,3,"State x Age","AgeBandId","Age Group",3,0
29,1,4,"State x Gender","GenderId","Gender",4,0
29,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
29,2,9,"State x County x Age","AgeBandId","Age Group",3,0
29,2,10,"State x County x Gender","GenderId","Gender",4,0
29,2,13,"State x County x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
30,1,3,"State x Age","AgeBandId","Age Group",3,0
30,1,4,"State x Gender","GenderId","Gender",4,0
30,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
30,2,9,"State x County x Age","AgeBandId","Age Group",3,1
30,2,10,"State x County x Gender","GenderId","Gender",4,1
30,2,13,"State x County x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,1
35,1,3,"State x Age","AgeBandId","Age Group",3,0
35,1,4,"State x Gender","GenderId","Gender",4,0
35,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
35,1,167,"State x Term","TermId","Term",50,0
35,1,169,"State x Age x Term","AgeBandId","Age Group",3,0
35,1,169,"State x Age x Term","TermId","Term",50,0
35,1,170,"State x Gender x Term","GenderId","Gender",4,0
35,1,170,"State x Gender x Term","TermId","Term",50,0
35,1,171,"State x Race/Ethnicity x Term","RaceEthnicityId","Race/Ethnicity",2,0
35,1,171,"State x Race/Ethnicity x Term","TermId","Term",50,0
35,2,9,"State x County x Age","AgeBandId","Age Group",3,0
35,2,10,"State x County x Gender","GenderId","Gender",4,0
35,2,13,"State x County x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
35,2,168,"State x County x Term","TermId","Term",50,0
35,2,172,"State x County x Age x Term","AgeBandId","Age Group",3,0
35,2,172,"State x County x Age x Term","TermId","Term",50,0
35,2,173,"State x County x Gender x Term","GenderId","Gender",4,0
35,2,173,"State x County x Gender x Term","TermId","Term",50,0
35,2,174,"State x County x Race/Ethnicity x Term","RaceEthnicityId","Race/Ethnicity",2,0
35,2,174,"State x County x Race/Ethnicity x Term","TermId","Term",50,0
36,1,3,"State x Age","AgeBandId","Age Group",3,0
36,1,4,"State x Gender","GenderId","Gender",4,0
36,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
36,1,167,"State x Term","TermId","Term",50,0
36,1,169,"State x Age x Term","AgeBandId","Age Group",3,0
36,1,169,"State x Age x Term","TermId","Term",50,0
36,1,170,"State x Gender x Term","GenderId","Gender",4,0
36,1,170,"State x Gender x Term","TermId","Term",50,0
36,1,171,"State x Race/Ethnicity x Term","RaceEthnicityId","Race/Ethnicity",2,0
36,1,171,"State x Race/Ethnicity x Term","TermId","Term",50,0
36,2,9,"State x County x Age","AgeBandId","Age Group",3,1
36,2,10,"State x County x Gender","GenderId","Gender",4,1
36,2,13,"State x County x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,1
36,2,168,"State x County x Term","TermId","Term",50,1
36,2,172,"State x County x Age x Term","AgeBandId","Age Group",3,1
36,2,172,"State x County x Age x Term","TermId","Term",50,1
36,2,173,"State x County x Gender x Term","GenderId","Gender",4,1
36,2,173,"State x County x Gender x Term","TermId","Term",50,1
36,2,174,"State x County x Race/Ethnicity x Term","RaceEthnicityId","Race/Ethnicity",2,1
36,2,174,"State x County x Race/Ethnicity x Term","TermId","Term",50,1
45,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
45,1,39,"State x Race x Ethnicity","RaceId","Race",1,0
45,1,39,"State x Race x Ethnicity","EthnicityId","Ethnicity",7,0
45,2,13,"State x County x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
45,2,54,"State x County x Race x Ethnicity","RaceId","Race",1,0
45,2,54,"State x County x Race x Ethnicity","EthnicityId","Ethnicity",7,0
46,1,3,"State x Age","AgeBandId","Age Group",3,0
46,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
46,1,42,"State x Age x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
46,1,42,"State x Age x Race/Ethnicity","AgeBandId","Age Group",3,0
46,2,9,"State x County x Age","AgeBandId","Age Group",3,1
46,2,13,"State x County x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,1
47,1,4,"State x Gender","GenderId","Gender",4,0
47,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
47,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
47,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
48,1,4,"State x Gender","GenderId","Gender",4,0
48,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
48,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
48,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
49,1,4,"State x Gender","GenderId","Gender",4,0
49,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
49,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
49,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
50,1,4,"State x Gender","GenderId","Gender",4,0
50,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
50,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
50,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
55,1,4,"State x Gender","GenderId","Gender",4,0
55,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
55,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
55,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
56,1,4,"State x Gender","GenderId","Gender",4,0
56,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
